{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '170', 'floors': 0, 'bp': '101/27', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '165', 'floors': 0, 'bp': '122/58', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '82', 'floors': 0, 'bp': '143/24', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '91', 'floors': 0, 'bp': '72/58', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.924570083618164, 'pulse': 200, 'floors': 0, 'bp': '73/96', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '97', 'floors': 0, 'bp': '187/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '89', 'floors': 0, 'bp': '183/64', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '111', 'floors': 0, 'bp': '172/22', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '181', 'floors': 0, 'bp': '78/12', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '95', 'floors': 0, 'bp': '98/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '91', 'floors': 0, 'bp': '154/01', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': 200, 'floors': 0, 'bp': '119/60', 'steps': 0}
{'distance': 0.01090999972075224, 'elevation': 0, 'calories': 22.14051055908203, 'pulse': '170', 'floors': 0, 'bp': '96/92', 'steps': 15}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': 200, 'floors': 0, 'bp': '191/28', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '193', 'floors': 0, 'bp': '112/23', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '145', 'floors': 0, 'bp': '106/95', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '95', 'floors': 0, 'bp': '92/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '97', 'floors': 0, 'bp': '126/62', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '78/89', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '95', 'floors': 0, 'bp': '104/22', 'steps': 0}
{'distance': 0.013089999556541443, 'elevation': 0, 'calories': 21.39837074279785, 'pulse': '91', 'floors': 0, 'bp': '168/25', 'steps': 18}
{'distance': 0.029810000211000443, 'elevation': 0, 'calories': 24.861690521240234, 'pulse': '81', 'floors': 0, 'bp': '78/53', 'steps': 41}
{'distance': 0, 'elevation': 0, 'calories': 19.17194938659668, 'pulse': '105', 'floors': 0, 'bp': '85/11', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '97', 'floors': 0, 'bp': '163/97', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '191', 'floors': 0, 'bp': '150/63', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '183', 'floors': 0, 'bp': '181/49', 'steps': 0}
{'distance': 0.05525000020861626, 'elevation': 0, 'calories': 29.932979583740234, 'pulse': '173', 'floors': 0, 'bp': '171/04', 'steps': 76}
