{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '157/92', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '111', 'floors': 0, 'bp': '99/79', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '153/83', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '97', 'floors': 0, 'bp': '76/61', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '150', 'floors': 0, 'bp': '158/47', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '106/54', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '180', 'floors': 0, 'bp': '91/57', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '106', 'floors': 0, 'bp': '80/61', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '193/15', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '99', 'floors': 0, 'bp': '87/39', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '88', 'floors': 0, 'bp': '99/50', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '163', 'floors': 0, 'bp': '123/49', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '172', 'floors': 0, 'bp': '96/91', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '95', 'floors': 0, 'bp': '172/99', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': '91', 'floors': 0, 'bp': '95/18', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.55500030517578, 'pulse': 200, 'floors': 0, 'bp': '175/61', 'steps': 0}
