{'distance': 0, 'elevation': 0, 'calories': 19.7903995513916, 'pulse': 200, 'floors': 0, 'bp': '98/08', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 20.408849716186523, 'pulse': '133', 'floors': 0, 'bp': '77/48', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.543020248413086, 'pulse': '170', 'floors': 0, 'bp': '80/42', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '93', 'floors': 0, 'bp': '83/30', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '91', 'floors': 0, 'bp': '143/56', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '189', 'floors': 0, 'bp': '84/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '176', 'floors': 0, 'bp': '77/45', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '89/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': 200, 'floors': 0, 'bp': '72/92', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '151', 'floors': 0, 'bp': '76/04', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '162', 'floors': 0, 'bp': '123/14', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '132/38', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': 200, 'floors': 0, 'bp': '95/44', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '110', 'floors': 0, 'bp': '196/63', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '96', 'floors': 0, 'bp': '78/72', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '142', 'floors': 0, 'bp': '90/88', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '107', 'floors': 0, 'bp': '135/02', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '86', 'floors': 0, 'bp': '178/98', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '83', 'floors': 0, 'bp': '87/66', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '81', 'floors': 0, 'bp': '126/31', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.048259735107422, 'pulse': '180', 'floors': 0, 'bp': '106/42', 'steps': 0}
{'distance': 0.023989999666810036, 'elevation': 0, 'calories': 28.448699951171875, 'pulse': 200, 'floors': 0, 'bp': '130/20', 'steps': 33}
{'distance': 0, 'elevation': 0, 'calories': 19.666709899902344, 'pulse': '183', 'floors': 0, 'bp': '162/85', 'steps': 0}
{'distance': 0.042890001088380814, 'elevation': 0, 'calories': 28.94346046447754, 'pulse': '95', 'floors': 0, 'bp': '97/42', 'steps': 59}
{'distance': 0, 'elevation': 0, 'calories': 19.29564094543457, 'pulse': 200, 'floors': 0, 'bp': '158/88', 'steps': 0}
{'distance': 0.01889999955892563, 'elevation': 0, 'calories': 22.387889862060547, 'pulse': '91', 'floors': 0, 'bp': '176/91', 'steps': 26}
{'distance': 0, 'elevation': 0, 'calories': 19.91408920288086, 'pulse': '136', 'floors': 0, 'bp': '79/50', 'steps': 0}
{'distance': 0.004360000137239695, 'elevation': 0, 'calories': 21.39837074279785, 'pulse': '92', 'floors': 0, 'bp': '115/99', 'steps': 6}
