{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '82', 'floors': 0, 'bp': '171/66', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.80544090270996, 'pulse': '107', 'floors': 0, 'bp': '77/22', 'steps': 0}
{'distance': 0.006539999973028898, 'elevation': 0, 'calories': 21.77471923828125, 'pulse': '143', 'floors': 0, 'bp': '97/85', 'steps': 9}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '86/80', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '95/17', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '96', 'floors': 0, 'bp': '193/92', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': 200, 'floors': 0, 'bp': '97/04', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '99', 'floors': 0, 'bp': '76/43', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '134', 'floors': 0, 'bp': '89/12', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.92915916442871, 'pulse': '92', 'floors': 0, 'bp': '113/92', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '84', 'floors': 0, 'bp': '72/75', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '98/65', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '83', 'floors': 0, 'bp': '114/12', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.80544090270996, 'pulse': '96', 'floors': 0, 'bp': '115/63', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '146', 'floors': 0, 'bp': '144/00', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '195', 'floors': 0, 'bp': '141/29', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '96', 'floors': 0, 'bp': '156/55', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.052879333496094, 'pulse': 200, 'floors': 0, 'bp': '143/63', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '169', 'floors': 0, 'bp': '74/25', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.80544090270996, 'pulse': '80', 'floors': 0, 'bp': '169/73', 'steps': 0}
{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 20.413799285888672, 'pulse': '91', 'floors': 0, 'bp': '83/27', 'steps': 7}
{'distance': 0.0058200000785291195, 'elevation': 0, 'calories': 20.78495979309082, 'pulse': '92', 'floors': 0, 'bp': '179/44', 'steps': 8}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '88', 'floors': 0, 'bp': '80/22', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '72/16', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.80544090270996, 'pulse': '164', 'floors': 0, 'bp': '96/42', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '105', 'floors': 0, 'bp': '85/00', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '99', 'floors': 0, 'bp': '144/42', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '192', 'floors': 0, 'bp': '155/88', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '193', 'floors': 0, 'bp': '75/84', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '184/98', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '83', 'floors': 0, 'bp': '150/18', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.681720733642578, 'pulse': '195', 'floors': 0, 'bp': '188/27', 'steps': 0}
{'distance': 0.05090000107884407, 'elevation': 0, 'calories': 31.91975975036621, 'pulse': '139', 'floors': 0, 'bp': '184/77', 'steps': 70}
{'distance': 0.01816999912261963, 'elevation': 0, 'calories': 24.62027931213379, 'pulse': '101', 'floors': 0, 'bp': '83/40', 'steps': 25}
{'distance': 0.06324999779462814, 'elevation': 0, 'calories': 33.28068161010742, 'pulse': 200, 'floors': 0, 'bp': '99/95', 'steps': 87}
{'distance': 0.068340003490448, 'elevation': 3.0480000972747803, 'calories': 28.331880569458008, 'pulse': '82', 'floors': 1, 'bp': '75/21', 'steps': 94}
{'distance': 0.14687000215053558, 'elevation': 0, 'calories': 47.879638671875, 'pulse': '170', 'floors': 0, 'bp': '96/37', 'steps': 202}
{'distance': 0.09088999778032303, 'elevation': 0, 'calories': 40.58015823364258, 'pulse': '87', 'floors': 0, 'bp': '191/74', 'steps': 125}
{'distance': 0.006539999973028898, 'elevation': 0, 'calories': 25.11515998840332, 'pulse': '104', 'floors': 0, 'bp': '163/86', 'steps': 9}
{'distance': 0.3569599986076355, 'elevation': 6.0960001945495605, 'calories': 53.94192123413086, 'pulse': '86', 'floors': 2, 'bp': '142/18', 'steps': 491}
{'distance': 0.5001699924468994, 'elevation': 3.0480000972747803, 'calories': 68.16972351074219, 'pulse': '137', 'floors': 1, 'bp': '185/31', 'steps': 688}
{'distance': 0.03708000108599663, 'elevation': 0, 'calories': 29.569080352783203, 'pulse': 200, 'floors': 0, 'bp': '78/31', 'steps': 51}
{'distance': 0.041439998894929886, 'elevation': 0, 'calories': 27.094680786132812, 'pulse': 200, 'floors': 0, 'bp': '101/73', 'steps': 57}
{'distance': 0.021080000326037407, 'elevation': 0, 'calories': 25.362600326538086, 'pulse': '141', 'floors': 0, 'bp': '110/57', 'steps': 29}
{'distance': 0.27118000388145447, 'elevation': 3.0480000972747803, 'calories': 52.2098388671875, 'pulse': '196', 'floors': 1, 'bp': '71/46', 'steps': 373}
{'distance': 0, 'elevation': 0, 'calories': 24.001680374145508, 'pulse': '151', 'floors': 0, 'bp': '162/26', 'steps': 0}
{'distance': 0.21375000476837158, 'elevation': 0, 'calories': 49.487998962402344, 'pulse': '169', 'floors': 0, 'bp': '72/04', 'steps': 294}
{'distance': 0.09013999998569489, 'elevation': 0, 'calories': 30.311399459838867, 'pulse': '85', 'floors': 0, 'bp': '166/46', 'steps': 124}
{'distance': 0.028359999880194664, 'elevation': 0, 'calories': 27.342119216918945, 'pulse': '81', 'floors': 0, 'bp': '103/69', 'steps': 39}
{'distance': 0.060339998453855515, 'elevation': 0, 'calories': 34.14672088623047, 'pulse': 200, 'floors': 0, 'bp': '95/59', 'steps': 83}
{'distance': 0, 'elevation': 0, 'calories': 21.77471923828125, 'pulse': 200, 'floors': 0, 'bp': '132/49', 'steps': 0}
{'distance': 0.07124999910593033, 'elevation': 0, 'calories': 35.87879943847656, 'pulse': '170', 'floors': 0, 'bp': '96/95', 'steps': 98}
{'distance': 0.06543000042438507, 'elevation': 0, 'calories': 34.6416015625, 'pulse': 200, 'floors': 0, 'bp': '106/27', 'steps': 90}
