{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '199/47', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '88', 'floors': 0, 'bp': '91/64', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '160', 'floors': 0, 'bp': '184/37', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '155/81', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '162', 'floors': 0, 'bp': '70/23', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '195', 'floors': 0, 'bp': '99/53', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '89', 'floors': 0, 'bp': '88/58', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '122', 'floors': 0, 'bp': '89/05', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '86', 'floors': 0, 'bp': '167/65', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '80/51', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '76/57', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '165/62', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '85', 'floors': 0, 'bp': '89/23', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': '93', 'floors': 0, 'bp': '81/91', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.558000564575195, 'pulse': 200, 'floors': 0, 'bp': '138/40', 'steps': 0}
