{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': 200, 'floors': 0, 'bp': '119/67', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '97', 'floors': 0, 'bp': '136/69', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '89/35', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '136/26', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '109', 'floors': 0, 'bp': '134/31', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '87', 'floors': 0, 'bp': '73/42', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '195', 'floors': 0, 'bp': '82/43', 'steps': 0}
{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 20.903610229492188, 'pulse': '155', 'floors': 0, 'bp': '70/83', 'steps': 7}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '94', 'floors': 0, 'bp': '142/92', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.048259735107422, 'pulse': '82', 'floors': 0, 'bp': '88/47', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.800880432128906, 'pulse': '114', 'floors': 0, 'bp': '82/27', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '91', 'floors': 0, 'bp': '128/76', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': '96', 'floors': 0, 'bp': '192/12', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '98', 'floors': 0, 'bp': '92/79', 'steps': 0}
{'distance': 0.00800000037997961, 'elevation': 0, 'calories': 21.39837074279785, 'pulse': 200, 'floors': 0, 'bp': '98/36', 'steps': 11}
{'distance': 0, 'elevation': 0, 'calories': 18.67719078063965, 'pulse': '80', 'floors': 0, 'bp': '80/11', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.553499221801758, 'pulse': 200, 'floors': 0, 'bp': '160/47', 'steps': 0}
