{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '87/76', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.674169540405273, 'pulse': '172', 'floors': 0, 'bp': '96/16', 'steps': 0}
{'distance': 0.0029100000392645597, 'elevation': 0, 'calories': 20.652889251708984, 'pulse': '154', 'floors': 0, 'bp': '81/73', 'steps': 4}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '81/98', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '197/72', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.797840118408203, 'pulse': '100', 'floors': 0, 'bp': '145/37', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '93/20', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.04517936706543, 'pulse': '112', 'floors': 0, 'bp': '98/91', 'steps': 0}
{'distance': 0.016720000654459, 'elevation': 0, 'calories': 21.271240234375, 'pulse': '185', 'floors': 0, 'bp': '98/66', 'steps': 23}
{'distance': 0, 'elevation': 0, 'calories': 18.921510696411133, 'pulse': '143', 'floors': 0, 'bp': '107/74', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.797840118408203, 'pulse': 200, 'floors': 0, 'bp': '75/98', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '94', 'floors': 0, 'bp': '73/57', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '75/77', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.674169540405273, 'pulse': '89', 'floors': 0, 'bp': '76/30', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '118', 'floors': 0, 'bp': '187/70', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.04517936706543, 'pulse': '140', 'floors': 0, 'bp': '150/16', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.797840118408203, 'pulse': '95', 'floors': 0, 'bp': '156/99', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': 200, 'floors': 0, 'bp': '123/63', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.550500869750977, 'pulse': '85', 'floors': 0, 'bp': '98/26', 'steps': 0}
{'distance': 0.003640000009909272, 'elevation': 0, 'calories': 20.0345401763916, 'pulse': 200, 'floors': 0, 'bp': '199/39', 'steps': 5}
{'distance': 0, 'elevation': 0, 'calories': 18.797840118408203, 'pulse': '129', 'floors': 0, 'bp': '76/15', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.674169540405273, 'pulse': '146', 'floors': 0, 'bp': '84/13', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 18.674169540405273, 'pulse': '188', 'floors': 0, 'bp': '83/84', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.539859771728516, 'pulse': 200, 'floors': 0, 'bp': '79/94', 'steps': 0}
{'distance': 0.08432000130414963, 'elevation': 0, 'calories': 33.88557815551758, 'pulse': '100', 'floors': 0, 'bp': '76/12', 'steps': 116}
{'distance': 0, 'elevation': 0, 'calories': 18.674169540405273, 'pulse': 200, 'floors': 0, 'bp': '138/76', 'steps': 0}
{'distance': 0.015270000323653221, 'elevation': 0, 'calories': 21.642250061035156, 'pulse': 200, 'floors': 0, 'bp': '70/06', 'steps': 21}
{'distance': 0.005090000107884407, 'elevation': 0, 'calories': 20.776559829711914, 'pulse': 200, 'floors': 0, 'bp': '91/62', 'steps': 7}
{'distance': 0.0523499995470047, 'elevation': 0, 'calories': 30.422819137573242, 'pulse': 200, 'floors': 0, 'bp': '183/83', 'steps': 72}
{'distance': 0.07924000173807144, 'elevation': 0, 'calories': 35.740631103515625, 'pulse': '105', 'floors': 0, 'bp': '80/43', 'steps': 109}
{'distance': 0.06397999823093414, 'elevation': 0, 'calories': 27.82575035095215, 'pulse': '81', 'floors': 0, 'bp': '78/18', 'steps': 88}
{'distance': 0.11415000259876251, 'elevation': 0, 'calories': 36.48265075683594, 'pulse': '87', 'floors': 0, 'bp': '180/69', 'steps': 157}
{'distance': 0.013810000382363796, 'elevation': 0, 'calories': 24.36298942565918, 'pulse': 200, 'floors': 0, 'bp': '71/23', 'steps': 19}
{'distance': 0, 'elevation': 0, 'calories': 19.910869598388672, 'pulse': '158', 'floors': 0, 'bp': '176/71', 'steps': 0}
{'distance': 0.01090999972075224, 'elevation': 0, 'calories': 22.26059913635254, 'pulse': '86', 'floors': 0, 'bp': '76/58', 'steps': 15}
{'distance': 0.18756000697612762, 'elevation': 3.0480000972747803, 'calories': 40.1927490234375, 'pulse': 200, 'floors': 1, 'bp': '97/12', 'steps': 258}
{'distance': 0, 'elevation': 0, 'calories': 20.529220581054688, 'pulse': '168', 'floors': 0, 'bp': '83/55', 'steps': 0}
{'distance': 0, 'elevation': 0, 'calories': 19.04517936706543, 'pulse': 200, 'floors': 0, 'bp': '73/93', 'steps': 0}
{'distance': 0.07416000217199326, 'elevation': 0, 'calories': 27.331069946289062, 'pulse': 200, 'floors': 0, 'bp': '81/89', 'steps': 102}
{'distance': 0.029079999774694443, 'elevation': 0, 'calories': 30.051809310913086, 'pulse': '197', 'floors': 0, 'bp': '188/50', 'steps': 40}
{'distance': 0.03708000108599663, 'elevation': 0, 'calories': 30.79383087158203, 'pulse': '169', 'floors': 0, 'bp': '87/63', 'steps': 51}
{'distance': 0, 'elevation': 0, 'calories': 23.002620697021484, 'pulse': '150', 'floors': 0, 'bp': '108/68', 'steps': 0}
{'distance': 0.007269999943673611, 'elevation': 0, 'calories': 25.228679656982422, 'pulse': '87', 'floors': 0, 'bp': '147/97', 'steps': 10}
{'distance': 0.01672999933362007, 'elevation': 0, 'calories': 27.083730697631836, 'pulse': 200, 'floors': 0, 'bp': '154/28', 'steps': 23}
{'distance': 0.07632999867200851, 'elevation': 0, 'calories': 32.525211334228516, 'pulse': '80', 'floors': 0, 'bp': '94/62', 'steps': 105}
{'distance': 0.006539999973028898, 'elevation': 0, 'calories': 24.61033058166504, 'pulse': '128', 'floors': 0, 'bp': '89/28', 'steps': 9}
{'distance': 0, 'elevation': 0, 'calories': 22.755279541015625, 'pulse': '95', 'floors': 0, 'bp': '76/98', 'steps': 0}
